rank,wave,class,sourceKey,commercial tier,tier why,country deficiency,priority,country,destination,category,required subject,required composition,widest display px,action,acquisition route,cost band,canonical asset id,current reference,replacement filename,pages,hero on,first page,why,current provider,current photographer,current source
11,"W1 re-crop, commercially live",RECROP,unsplash:8XuOyTucsaI,2,"priced route — East, South and continental",52%,P1,tanzania,,hero,"the endless short-grass plains of the Serengeti at sunrise, Tanzania",4/3 and 16/9,2400,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000554,https://images.unsplash.com/photo-1616094729710-0969aae40cc0,tanzania/hero/the-endless-short-grass-plains-of-the-serengeti-at-sunrise-tanzania.avif,2,/tourism/tanzania.html,/tourism/index.html,"relevance 6.0, subject query, names its country",unsplash,Dmitrii Zhodzishskii,https://unsplash.com/photos/green-tree-on-green-grass-field-during-daytime-8XuOyTucsaI
12,"W1 re-crop, commercially live",RECROP,unsplash:MTkNBoP3Bpk,2,"priced route — East, South and continental",52%,P3,tanzania,uhuru peak by machame,adventure,"trekkers on the Machame route high on Kilimanjaro, Tanzania",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000546,https://images.unsplash.com/photo-1766401744148-0d6b442c57e8,tanzania/adventure/trekkers-on-the-machame-route-high-on-kilimanjaro-tanzania.avif,2,/places/tanzania/uhuru-peak-by-machame.html,/places/tanzania/uhuru-peak-by-machame.html,"relevance 4.7, subject query, names its country",unsplash,Twende Africa Tours,https://unsplash.com/photos/snow-capped-mountain-peak-under-a-blue-sky-MTkNBoP3Bpk
13,"W1 re-crop, commercially live",RECROP,unsplash:LMkvk7zChEo,2,"priced route — East, South and continental",52%,P3,tanzania,maasai chagga swahili,culture,Maasai men in ceremonial dress on the northern Tanzanian plains,16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000550,https://images.unsplash.com/photo-1580688967149-1c842af3177b,tanzania/culture/maasai-men-in-ceremonial-dress-on-the-northern-tanzanian-plains.avif,4,/places/tanzania/maasai-chagga-swahili.html,/tanzania.html,"relevance 6.0, subject query, names its country",unsplash,Magdalena Kula Manchee,https://unsplash.com/photos/woman-in-red-and-white-dress-wearing-black-leather-boots-LMkvk7zChEo
14,"W1 re-crop, commercially live",RECROP,pexels:30172599,2,"priced route — East, South and continental",48%,P3,zambia,devils pool and the gorge,adventure,"rafting the grade five rapids in the Batoka gorge below Victoria Falls, Zambia",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000608,https://images.pexels.com/photos/30172599/pexels-photo-30172599.jpeg,zambia/adventure/rafting-the-grade-five-rapids-in-the-batoka-gorge-below-victoria-falls.avif,2,/places/zambia/devils-pool-and-the-gorge.html,/places/zambia/devils-pool-and-the-gorge.html,"relevance 4.7, subject query, names its country",pexels,Kabwe Kabwe,https://www.pexels.com/photo/majestic-victoria-falls-bridge-with-rainbow-30172599/
15,"W1 re-crop, commercially live",RECROP,pexels:36467687,2,"priced route — East, South and continental",48%,P3,zambia,leopard country,wildlife,"a leopard in a sausage tree in the South Luangwa valley, Zambia",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000620,https://images.pexels.com/photos/36467687/pexels-photo-36467687.jpeg,zambia/wildlife/a-leopard-in-a-sausage-tree-in-the-south-luangwa-valley-zambia.avif,4,/places/zambia/leopard-country.html,/zambia.html,"relevance 4.0, subject query, names its country",pexels,Ana Kenk,https://www.pexels.com/photo/traditional-village-and-landscape-in-zambia-36467687/
16,"W1 re-crop, commercially live",RECROP,pexels:32806081,2,"priced route — East, South and continental",46%,P3,rwanda,the congo nile trail,adventure,"a cyclist on the Congo Nile Trail above Lake Kivu, Rwanda",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000439,https://images.pexels.com/photos/32806081/pexels-photo-32806081.jpeg,rwanda/adventure/a-cyclist-on-the-congo-nile-trail-above-lake-kivu-rwanda.avif,2,/places/rwanda/the-congo-nile-trail.html,/places/rwanda/the-congo-nile-trail.html,"relevance 4.7, subject query, names its country",pexels,Edouard MIHIGO,https://www.pexels.com/photo/group-of-men-rowing-a-wooden-boat-on-calm-lake-32806081/
17,"W1 re-crop, commercially live",RECROP,pexels:36470601,2,"priced route — East, South and continental",46%,P3,rwanda,intore the dance of heroes,culture,Intore dancers in grass headdresses performing in Rwanda,16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000441,https://images.pexels.com/photos/36470601/pexels-photo-36470601.jpeg,rwanda/culture/intore-dancers-in-grass-headdresses-performing-in-rwanda.avif,4,/places/rwanda/intore-the-dance-of-heroes.html,/rwanda.html,"relevance 4.0, subject query, names its country",pexels,Ana Kenk,https://www.pexels.com/photo/aerial-view-of-kigali-city-landscape-rwanda-36470601/
18,"W1 re-crop, commercially live",RECROP,pexels:35717988,2,"priced route — East, South and continental",33%,P3,kenya,balloon over the mara,adventure,"a hot-air balloon over the Maasai Mara plains at sunrise, Kenya",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000264,https://images.pexels.com/photos/35717988/pexels-photo-35717988.jpeg,kenya/adventure/a-hot-air-balloon-over-the-maasai-mara-plains-at-sunrise-kenya.avif,2,/places/kenya/balloon-over-the-mara.html,/places/kenya/balloon-over-the-mara.html,"relevance 5.6, subject query, names its country",pexels,Fali  Poncha,https://www.pexels.com/photo/majestic-lion-in-kenyan-maasai-mara-landscape-35717988/
19,"W1 re-crop, commercially live",RECROP,pexels:31151819,2,"priced route — East, South and continental",33%,P3,kenya,maasai and swahili,culture,"Maasai elders in red shuka cloth on the open plains, Kenya",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000268,https://images.pexels.com/photos/31151819/pexels-photo-31151819.jpeg,kenya/culture/maasai-elders-in-red-shuka-cloth-on-the-open-plains-kenya.avif,4,/places/kenya/maasai-and-swahili.html,/kenya.html,"relevance 7.5, subject query, names its country",pexels,Mr Sketch,https://www.pexels.com/photo/maasai-woman-in-traditional-attire-smiling-outdoors-31151819/
20,"W1 re-crop, commercially live",RECROP,pexels:23831844,2,"priced route — East, South and continental",33%,P3,kenya,magical kenya,why-visit,acacia silhouetted against a red sunset on the Kenyan savannah,16/9 and 21/9,2400,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000280,https://images.pexels.com/photos/23831844/pexels-photo-23831844.jpeg,kenya/why-visit/acacia-silhouetted-against-a-red-sunset-on-the-kenyan-savannah.avif,2,/places/kenya/magical-kenya.html,/places/kenya/magical-kenya.html,"relevance 5.4, subject query, names its country",pexels,Image  Noise,https://www.pexels.com/photo/sunset-on-safari-23831844/
21,"W1 re-crop, commercially live",RECROP,pexels:33235130,3,priced route — West,77%,P3,cote-divoire,ta and como,wildlife,"A dense, vibrant green forest canopy bathed in sunlight, showcasing nature's beauty., Côte d'Ivoire",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000117,https://images.pexels.com/photos/33235130/pexels-photo-33235130.jpeg,cote-divoire/wildlife/a-dense-vibrant-green-forest-canopy-bathed-in-sunlight-showcasing-natu.avif,4,/places/cote-divoire/ta-and-como.html,/cote-divoire.html,"relevance 4.5, subject query, names its country",pexels,Diego Girón,https://www.pexels.com/photo/lush-green-forest-canopy-in-sunlight-33235130/
22,"W1 re-crop, commercially live",RECROP,pexels:30372869,3,priced route — West,68%,P1,guinea,,hero,"green plateau and sandstone cliffs in the Fouta Djallon, Guinea",16/9 and 4/3,2400,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000259,https://images.pexels.com/photos/30372869/pexels-photo-30372869.jpeg,guinea/hero/green-plateau-and-sandstone-cliffs-in-the-fouta-djallon-guinea.avif,2,/tourism/guinea.html,/tourism/guinea.html,"relevance 4.5, subject query, names its country",pexels,ansar photography,https://www.pexels.com/photo/rugged-sandstone-cliff-with-green-vegetation-30372869/
23,"W1 re-crop, commercially live",RECROP,pexels:3561167,3,priced route — West,59%,P1,ghana,,hero,"the white walls of Cape Coast castle above the Atlantic, Ghana",16/9 and 4/3,2400,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000237,https://images.pexels.com/photos/3561167/pexels-photo-3561167.jpeg,ghana/hero/the-white-walls-of-cape-coast-castle-above-the-atlantic-ghana.avif,2,/tourism/ghana.html,/tourism/ghana.html,"relevance 6.0, subject query, names its country",pexels,Seyiram Kweku,https://www.pexels.com/photo/green-tent-on-beach-in-ghana-3561167/
24,"W1 re-crop, commercially live",RECROP,pexels:17767118,3,priced route — West,59%,P3,ghana,canopy surf and lake,adventure,"Two people hiking on grassy hills during sunrise, with scenic views and nature around., Ghana",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000231,https://images.pexels.com/photos/17767118/pexels-photo-17767118.jpeg,ghana/adventure/two-people-hiking-on-grassy-hills-during-sunrise-with-scenic-views-and.avif,2,/places/ghana/canopy-surf-and-lake.html,/places/ghana/canopy-surf-and-lake.html,"relevance 4.7, subject query, names its country",pexels,Matheus Bertelli,https://www.pexels.com/photo/people-hiking-on-footpath-on-green-hill-17767118/
25,"W1 re-crop, commercially live",RECROP,pexels:35447814,3,priced route — West,59%,P3,ghana,mole and ankasa,wildlife,"A herd of African bush elephants (Loxodonta africana) enjoying a waterhole in their natural habitat., Ghana",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000241,https://images.pexels.com/photos/35447814/pexels-photo-35447814.jpeg,ghana/wildlife/a-herd-of-african-bush-elephants-loxodonta-africana-enjoying-a-waterho.avif,4,/places/ghana/mole-and-ankasa.html,/ghana.html,"relevance 4.8, subject query, names its country",pexels,Derek Keats,https://www.pexels.com/photo/family-of-african-elephants-at-waterhole-35447814/
26,"W1 re-crop, commercially live",RECROP,pexels:32656543,3,priced route — West,48%,P3,guinea-bissau,why guinea bissau,why-visit,"a pirogue crossing still water between two Bijagos islands, Guinea-Bissau",16/9 and 21/9,2400,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000254,https://images.pexels.com/photos/32656543/pexels-photo-32656543.jpeg,guinea-bissau/why-visit/a-pirogue-crossing-still-water-between-two-bijagos-islands-guinea-biss.avif,2,/places/guinea-bissau/why-guinea-bissau.html,/places/guinea-bissau/why-guinea-bissau.html,"relevance 5.4, subject query, names its country",pexels,Alex Fanaso,https://www.pexels.com/photo/traditional-canoe-fishing-in-papua-new-guinea-32656543/
27,"W1 re-crop, commercially live",RECROP,pexels:33621884,3,priced route — West,48%,P3,guinea-bissau,saltwater hippos,wildlife,"a hippo in shallow salt water off Orango island, Guinea-Bissau",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000255,https://images.pexels.com/photos/33621884/pexels-photo-33621884.jpeg,guinea-bissau/wildlife/a-hippo-in-shallow-salt-water-off-orango-island-guinea-bissau.avif,4,/places/guinea-bissau/saltwater-hippos.html,/guinea-bissau.html,"relevance 4.5, subject query, names its country",pexels,K,https://www.pexels.com/photo/aerial-view-of-hippos-in-south-african-river-33621884/
28,"W1 re-crop, commercially live",RECROP,pexels:18284888,3,priced route — West,42%,P1,gambia,,hero,"the wide Gambia river with mangrove banks at sunset, The Gambia",16/9 and 4/3,2400,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000223,https://images.pexels.com/photos/18284888/pexels-photo-18284888.jpeg,gambia/hero/the-wide-gambia-river-with-mangrove-banks-at-sunset-the-gambia.avif,2,/tourism/gambia.html,/tourism/gambia.html,"relevance 6.0, subject query, names its country",pexels,Ihsan Adityawarman,https://www.pexels.com/photo/man-fishing-with-with-a-net-in-a-muddy-river-18284888/
29,"W1 re-crop, commercially live",RECROP,pexels:32163741,3,priced route — West,42%,P3,gambia,why the gambia,why-visit,a small boat on the Gambia river with mangrove either side,16/9 and 21/9,2400,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000230,https://images.pexels.com/photos/32163741/pexels-photo-32163741.jpeg,gambia/why-visit/a-small-boat-on-the-gambia-river-with-mangrove-either-side.avif,2,/places/gambia/why-the-gambia.html,/places/gambia/why-the-gambia.html,"relevance 5.4, subject query, names its country",pexels,Abhisek Tripathy,https://www.pexels.com/photo/fishermen-navigate-coastal-waters-in-small-boat-32163741/
30,"W2 re-crop, remainder",RECROP,unsplash:r8VoOAdxRx0,4,no price attached,78%,P3,sierra-leone,surfing and forest walking,adventure,"surfers waiting for a set at Bureh beach, Sierra Leone",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000492,https://images.unsplash.com/photo-1649486116203-ba9a1e0d84a3,sierra-leone/adventure/surfers-waiting-for-a-set-at-bureh-beach-sierra-leone.avif,2,/places/sierra-leone/surfing-and-forest-walking.html,/places/sierra-leone/surfing-and-forest-walking.html,"relevance 4.7, subject query, names its country",unsplash,Random Institute,https://unsplash.com/photos/a-man-standing-on-top-of-a-sandy-beach-r8VoOAdxRx0
31,"W2 re-crop, remainder",RECROP,pexels:37139339,4,no price attached,77%,P3,comoros,swahili and ylang ylang,culture,"ylang-ylang flowers being picked on a Comorian plantation, Comoros",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000100,https://images.pexels.com/photos/37139339/pexels-photo-37139339.jpeg,comoros/culture/ylang-ylang-flowers-being-picked-on-a-comorian-plantation-comoros.avif,4,/places/comoros/swahili-and-ylang-ylang.html,/comoros.html,"relevance 4.5, subject query, names its country",pexels,AMOL NAKVE,https://www.pexels.com/photo/close-up-of-hands-stringing-jasmine-flowers-37139339/
32,"W2 re-crop, remainder",RECROP,pexels:31447433,4,no price attached,73%,P1,djibouti,,hero,"the white salt shore and turquoise water of Lake Assal, Djibouti",16/9 and 4/3,2400,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000122,https://images.pexels.com/photos/31447433/pexels-photo-31447433.jpeg,djibouti/hero/the-white-salt-shore-and-turquoise-water-of-lake-assal-djibouti.avif,2,/tourism/djibouti.html,/tourism/djibouti.html,"relevance 4.5, subject query, names its country",pexels,文浩 任,https://www.pexels.com/photo/aerial-view-of-salt-formation-on-green-water-31447433/
33,"W2 re-crop, remainder",RECROP,pexels:20177677,4,no price attached,73%,P3,djibouti,afar and somali,culture,"An African street vendor carries bottles on head amidst busy traffic, Djibouti",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000119,https://images.pexels.com/photos/20177677/pexels-photo-20177677.jpeg,djibouti/culture/an-african-street-vendor-carries-bottles-on-head-amidst-busy-traffic-d.avif,4,/places/djibouti/afar-and-somali.html,/djibouti.html,"relevance 5.0, subject query, names its country",pexels,Mwakapila Victor,https://www.pexels.com/photo/man-carrying-bottles-on-his-head-20177677/
34,"W2 re-crop, remainder",RECROP,unsplash:v9JKOfNKg8U,4,no price attached,72%,P3,congo,why congo,why-visit,"a gorilla family moving through dense green forest, Congo",16/9 and 21/9,2400,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000110,https://images.unsplash.com/photo-1587553891280-5b1c6bd79801,congo/why-visit/a-gorilla-family-moving-through-dense-green-forest-congo.avif,2,/places/congo/why-congo.html,/places/congo/why-congo.html,"relevance 5.2, subject query, names its country",unsplash,Azzedine Rouichi,https://unsplash.com/photos/black-gorilla-in-grayscale-photography-v9JKOfNKg8U
35,"W2 re-crop, remainder",RECROP,pexels:37136205,4,no price attached,72%,P3,congo,western lowland gorillas,wildlife,"a silverback western lowland gorilla in dense green forest, Congo",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000111,https://images.pexels.com/photos/37136205/pexels-photo-37136205.jpeg,congo/wildlife/a-silverback-western-lowland-gorilla-in-dense-green-forest-congo.avif,4,/places/congo/western-lowland-gorillas.html,/congo.html,"relevance 4.5, subject query, names its country",pexels,Jonathan Cooper,https://www.pexels.com/photo/close-up-portrait-of-a-western-lowland-gorilla-37136205/
36,"W2 re-crop, remainder",RECROP,pexels:37245212,4,no price attached,72%,P3,dr-congo,nyiragongo overnight,adventure,"climbers on the crater rim of Nyiragongo above the lava lake, DR Congo",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000125,https://images.pexels.com/photos/37245212/pexels-photo-37245212.jpeg,dr-congo/adventure/climbers-on-the-crater-rim-of-nyiragongo-above-the-lava-lake-dr-congo.avif,2,/places/dr-congo/nyiragongo-overnight.html,/places/dr-congo/nyiragongo-overnight.html,"relevance 4.7, subject query, names its country",pexels,Edu Raw,https://www.pexels.com/photo/aerial-view-of-active-volcano-crater-37245212/
37,"W2 re-crop, remainder",RECROP,pexels:17234850,4,no price attached,72%,P3,dr-congo,two hundred and fifty peoples,culture,"a street market crowd in Kinshasa, DR Congo",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000126,https://images.pexels.com/photos/17234850/pexels-photo-17234850.jpeg,dr-congo/culture/a-street-market-crowd-in-kinshasa-dr-congo.avif,4,/places/dr-congo/two-hundred-and-fifty-peoples.html,/dr-congo.html,"relevance 4.5, subject query, names its country",pexels,K,https://www.pexels.com/photo/traffic-jam-on-a-street-17234850/
38,"W2 re-crop, remainder",RECROP,pexels:17880995,4,no price attached,70%,P3,angola,giant sable,wildlife,"a giant sable antelope with long curved horns in miombo woodland, Angola",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000017,https://images.pexels.com/photos/17880995/pexels-photo-17880995.jpeg,angola/wildlife/a-giant-sable-antelope-with-long-curved-horns-in-miombo-woodland-angol.avif,4,/places/angola/giant-sable.html,/angola.html,"relevance 6.1, subject query, names its country",pexels,BabijaPhoto JB,https://www.pexels.com/photo/sable-antelope-in-nature-17880995/
39,"W2 re-crop, remainder",RECROP,unsplash:ySijdi3dK10,4,no price attached,67%,P3,algeria,what lives in the sand,wildlife,a fennec fox at the edge of dunes in the Algerian Sahara,16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000009,https://images.unsplash.com/photo-1632257996200-cb89e88cac8d,algeria/wildlife/a-fennec-fox-at-the-edge-of-dunes-in-the-algerian-sahara.avif,4,/places/algeria/what-lives-in-the-sand.html,/algeria.html,"relevance 6.0, subject query, names its country",unsplash,Azzedine Rouichi,https://unsplash.com/photos/a-desert-scene-with-rocks-and-sand-in-the-foreground-ySijdi3dK10
40,"W2 re-crop, remainder",RECROP,pexels:4785205,4,no price attached,67%,P3,mozambique,dive sail kayak,adventure,"a diver with a manta ray off Tofo, Mozambique",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000394,https://images.pexels.com/photos/4785205/pexels-photo-4785205.jpeg,mozambique/adventure/a-diver-with-a-manta-ray-off-tofo-mozambique.avif,2,/places/mozambique/dive-sail-kayak.html,/places/mozambique/dive-sail-kayak.html,"relevance 4.7, subject query, names its country",pexels,Kristian Laine,https://www.pexels.com/photo/a-manta-ray-swimming-underwater-4785205/
41,"W2 re-crop, remainder",RECROP,pexels:15262889,4,no price attached,67%,P3,mozambique,the coast nobody has ruined yet,why-visit,"an empty Indian Ocean beach with palms behind it, Mozambique",16/9 and 21/9,2400,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000402,https://images.pexels.com/photos/15262889/pexels-photo-15262889.jpeg,mozambique/why-visit/an-empty-indian-ocean-beach-with-palms-behind-it-mozambique.avif,2,/places/mozambique/the-coast-nobody-has-ruined-yet.html,/places/mozambique/the-coast-nobody-has-ruined-yet.html,"relevance 4.0, subject query, names its country",pexels,Sanket  Mishra,https://www.pexels.com/photo/blue-rough-seascape-and-a-sandy-beach-15262889/
